# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 14 09:46:38 2015
#
# COLUMN pl_hostname:    (not found)
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
#
rowid,pl_hostname,ra,dec
230,HD 108874,187.612015,22.879829
231,HD 109246,188.029953,74.489548
232,HD 109271,188.398148,-11.621868
233,HD 109271,188.398148,-11.621868
234,HD 109749,189.318237,-40.812115
235,HD 110014,189.811523,-7.995564
236,HD 111232,192.215637,-68.425148
237,HD 113337,195.445526,63.610226
238,HD 113538,196.239487,-52.442924
239,HD 113538,196.239487,-52.442924
240,HD 114386,197.665924,-35.054783
241,HD 114613,198.013275,-37.803020
242,HD 114729,198.184402,-31.873348
243,HD 114762,198.082260,17.517122
244,HD 114783,198.182434,-2.265040
245,HD 11506,28.210558,-19.506975
246,HD 11506,28.210558,-19.506975
247,HD 116029,200.164764,24.648699
248,HD 117207,202.337967,-35.570995
249,HD 117618,203.106476,-47.271362
250,HD 118203,203.510574,53.728531
251,HD 11964,29.290026,-10.242428
252,HD 11964,29.290026,-10.242428
253,HD 11977,28.733881,-67.647301
254,HD 120084,205.663345,78.064438
255,HD 121504,209.321823,-56.040043
256,HD 125595,215.346603,-40.393948
257,HD 125612,215.222977,-17.481522
258,HD 125612,215.222977,-17.481522
259,HD 125612,215.222977,-17.481522
260,HD 12661,31.142866,25.414305
261,HD 12661,31.142866,25.414305
262,HD 126614,216.701172,-5.177780
263,HD 128311,219.002335,9.746518
264,HD 128311,219.002335,9.746518
265,HD 129445,221.512772,-68.762749
266,HD 130322,221.886368,-0.281476
267,HD 131496,223.345947,18.235401
268,HD 131664,225.025314,-73.535339
269,HD 13189,32.417381,32.316437
270,HD 132406,224.227707,53.382168
271,HD 132563,224.589661,44.043148
272,HD 134987,228.369446,-25.309347
273,HD 134987,228.369446,-25.309347
274,HD 136418,229.775757,41.733208
275,HD 137388 A,233.916367,-80.204590
276,HD 13908,34.560665,65.594360
277,HD 13908,34.560665,65.594360
278,HD 13931,34.197414,43.772995
279,HD 139357,233.817490,53.922142
280,HD 14067,34.293499,23.767832
281,HD 141937,238.073120,-18.436066
282,HD 142,1.579898,-49.075191
283,HD 142,1.579898,-49.075191
284,HD 142022 A,242.562592,-84.231613
285,HD 142245,238.234497,15.430708
286,HD 142415,239.419968,-60.200256
287,HD 143361,240.459778,-44.434536
288,HD 145377,242.901855,-27.078173
289,HD 145457,242.516312,26.742750
290,HD 145934,243.291138,13.239476
291,HD 1461,4.674448,-8.053001
292,HD 147018,245.750610,-61.688763
293,HD 147018,245.750610,-61.688763
294,HD 147513,246.005371,-39.192982
295,HD 148156,247.072006,-46.317623
296,HD 148427,247.117294,-13.399640
297,HD 149026,247.623413,38.347309
298,HD 149143,248.212708,2.084832
299,HD 1502,4.821110,14.054755
300,HD 150706,247.823273,79.789772
301,HD 152079,253.373901,-46.332958
302,HD 152581,253.431595,11.973746
303,HD 153950,256.128632,-43.309769
304,HD 154345,255.651688,47.081882
305,HD 154672,257.520477,-56.449268
306,HD 154857,257.815521,-56.680798
307,HD 154857,257.815521,-56.680798
308,HD 155358,257.394226,33.355854
309,HD 155358,257.394226,33.355854
310,HD 156279,258.096680,63.352093
311,HD 156411,259.964172,-48.549320
312,HD 156668,259.418701,29.227226
313,HD 156846,260.142944,-19.333746
314,HD 158038,261.439301,27.303341
315,HD 159243,263.339783,5.700733
316,HD 159243,263.339783,5.700733
317,HD 159868,264.748016,-43.145515
318,HD 159868,264.748016,-43.145515
319,HD 1605,5.131330,30.974804
320,HD 1605,5.131330,30.974804
321,HD 160691,266.036255,-51.834053
322,HD 160691,266.036255,-51.834053
323,HD 160691,266.036255,-51.834053
324,HD 160691,266.036255,-51.834053
325,HD 16141,38.833035,-3.560602
326,HD 16175,39.257961,42.062634
327,HD 162020,267.659821,-40.318348
328,HD 163607,268.418732,56.391956
329,HD 163607,268.418732,56.391956
330,HD 16417,39.244198,-34.577976
331,HD 164509,270.380127,0.104556
332,HD 164595,270.162048,29.571922
333,HD 164604,270.778900,-28.560644
334,HD 164922,270.628601,26.313002
335,HD 1666,5.218085,-19.931225
336,HD 166724,273.498657,-42.575375
337,HD 167042,272.631836,54.286552
338,HD 168443,275.016388,-9.595722
339,HD 168443,275.016388,-9.595722
340,HD 168746,275.457428,-11.922684
341,HD 1690,5.305497,-8.281169
342,HD 169830,276.956177,-29.816866
343,HD 169830,276.956177,-29.816866
344,HD 170469,277.295746,11.695502
345,HD 17092,41.592153,49.653075
346,HD 171028,278.064552,6.945749
347,HD 171238,278.681976,-28.072313
348,HD 17156,42.435364,71.753235
349,HD 173416,280.900452,36.556606
350,HD 175167,285.003479,-69.944244
351,HD 175541,283.920349,4.265325
352,HD 177830,286.336548,25.920660
353,HD 177830,286.336548,25.920660
354,HD 178911 B,287.262939,34.599850
355,HD 179079,287.790955,-2.638385
356,HD 179949,288.888458,-24.179352
357,HD 180314,288.709198,31.860350
358,HD 180902,289.823792,-23.558155
359,HD 181342,290.267639,-23.619572
360,HD 181433,291.289856,-66.468796
361,HD 181433,291.289856,-66.468796
362,HD 181433,291.289856,-66.468796
363,HD 181720,290.720764,-32.919056
364,HD 183263,292.102386,8.358054
365,HD 183263,292.102386,8.358054
366,HD 185269,294.298920,28.499865
367,HD 187085,297.391541,-37.780552
368,HD 187123,296.742126,34.419525
369,HD 187123,296.742126,34.419525
370,HD 18742,45.044407,-20.802603
371,HD 188015,298.018921,28.100376
372,HD 189733,300.182129,22.710854
373,HD 190360,300.905853,29.896805
374,HD 190360,300.905853,29.896805
375,HD 190647,301.831970,-35.538631
376,HD 190984,302.877991,-64.620468
377,HD 192263,303.499359,-0.866877
378,HD 192310,303.822449,-27.032976
379,HD 192310,303.822449,-27.032976
380,HD 192699,304.025024,4.580795
381,HD 195019,307.077637,18.769497
382,HD 196050,309.465454,-60.634483
383,HD 196067,310.433716,-75.350800
384,HD 196885,309.966156,11.249649
385,HD 197037,309.887329,42.248550
